Date,Predicted_Sales,Lower_Bound,Upper_Bound,Actual_Sales
2010-10-08,44703149.66069037,39637865.67757765,49698996.402043365,45102974.23
2010-10-15,44632381.04010757,39525733.31249693,49541560.48843473,43149473.45
2010-10-22,43724569.01707505,39010589.20514624,48961990.77797046,43066669.52
2010-10-29,43941446.158846095,38776695.74143561,48759516.46679342,43602830.95
2010-11-05,46195485.10838053,41181718.20636927,51377115.2309483,45781981.89
2010-11-12,49237645.22028141,44427748.856380545,54346095.60709501,46124800.83
2010-11-19,51376241.90088228,46196824.043847315,56148751.60221861,45125584.18
2010-11-26,52845441.32713925,47724935.25482073,57866107.3633792,65821003.24
2010-12-03,55544994.1348902,50396862.214101925,60860670.51952605,49909027.88
2010-12-10,60066565.691740975,55085809.21751074,65042331.25973276,55666770.39
2010-12-17,63642741.06844631,58732151.618747056,68666694.04457611,61820799.85
2010-12-24,62099697.750679374,57172653.08645195,66823902.59328353,80931415.6
2010-12-31,54287794.64162366,49678405.1523793,59474318.760426745,40432519.0
2011-01-07,44157404.595744364,39237456.300921,49288440.92331888,42775787.77
2011-01-14,37802863.959185794,32836526.078056175,42744778.23028031,40673678.04
2011-01-21,38223719.45946674,32730433.264971007,43094926.52137146,40654648.03
2011-01-28,43089128.13011665,37875656.49979373,48024243.64927518,39599852.99
2011-02-04,47535295.676938616,42680953.93208676,52883075.40774533,46153111.12
2011-02-11,48730256.79935325,43289577.63845623,53830939.92196767,47336192.79
2011-02-18,47536928.46409458,42729564.37126686,52450660.25750092,48716164.12
2011-02-25,46305478.67534001,41148563.674276344,51416403.82851272,44125859.84
2011-03-04,46010532.8131064,41607213.54535101,51025740.57212291,46980603.74
2011-03-11,45924475.16376586,41085803.23782704,50990400.93560871,44627319.4
2011-03-18,45433660.92427902,40227697.57511638,50265820.549791306,44872325.97
2011-03-25,45152185.89654047,40097221.42675536,49612888.65508446,42876199.18
2011-04-01,45921345.760124974,40838893.81055488,51025777.43182397,43458991.19
2011-04-08,47313166.93842006,42224033.35072097,52295775.962483846,45887466.8
2011-04-15,47860422.199002214,42797920.13713,53152219.189599566,44973328.14
2011-04-22,46823313.71254684,42493360.22973328,51951140.56361726,48676692.06
2011-04-29,45199386.59993057,40181637.65105079,49999053.89043718,43530032.78
2011-05-06,44634388.18955899,39447823.073895335,49266771.64612364,46861958.29
2011-05-13,45577946.27434854,40570170.915390335,50141782.38768566,45446144.82
2011-05-20,46939960.843687244,42111049.2967169,51861208.68142871,44046598.01
2011-05-27,47542445.04107348,42861008.573784254,52711974.79555954,45293457.04
2011-06-03,47439260.546557404,42808450.76429265,52603662.55450645,48771994.18
2011-06-10,47516439.98735458,42587335.29812439,52181595.15244228,47669734.66
2011-06-17,48096417.557685286,43001369.48089167,52732056.54657459,47447561.77
2011-06-24,48473077.88992122,43283638.17228799,53239813.07411859,45884094.58
2011-07-01,47925839.73998964,42864292.382676475,52944337.782346696,47578519.5
2011-07-08,46757708.49089194,42081895.00471958,52101653.102522396,47859263.78
2011-07-15,45948257.36708721,41359731.78824599,51196218.59993365,45515929.92
2011-07-22,45945179.3531836,41334512.0776059,51047004.702055044,45274411.39
2011-07-29,46258329.03166553,41355471.56142581,51171213.21351026,43683274.28
2011-08-05,46339796.99419091,41590502.218424074,50839044.16353091,48015466.97
2011-08-12,46407358.794353716,41485255.1782048,50706960.53688497,46249569.21
2011-08-19,46962137.3291825,42358901.01713318,52005435.6624598,46917347.62
2011-08-26,47676606.23080621,42777838.12468256,52560102.83632948,47416948.45
2011-09-02,47394689.23879083,42776764.09795216,52456580.278549656,45376623.27
2011-09-09,45562473.622839354,41063712.56053936,50511477.85982407,46763227.53
2011-09-16,43294210.38129005,38225582.50363946,48159055.969819486,43793960.08
2011-09-23,42435544.62877698,37334929.71008369,47351378.2301719,42718096.73
2011-09-30,43494897.09188739,38178229.6527309,48158318.17633733,42195830.81
2011-10-07,44988566.02088412,39704909.96480179,49748762.81377809,47211688.36
2011-10-14,45197567.96025771,39892289.320769094,50475623.158604965,44374820.3
2011-10-21,44297202.30389315,39365487.6687526,49286804.0169826,45818953.44
2011-10-28,44184491.69175549,38919499.18731642,49289259.51839315,45855821.05
2011-11-04,46131305.2594511,41306320.85141129,51047028.43278289,48655544.3
2011-11-11,49212116.0963636,44248185.43909852,54218081.23725168,48474224.75
2011-11-18,51591541.639362596,46496113.60073544,56359390.242413655,46438980.56
2011-11-25,53073310.621368185,48396588.00628056,58122112.38078637,66593605.26
2011-12-02,55451098.38137502,50032782.06240132,60333003.15933736,49390556.49
2011-12-09,59796580.106219225,55022475.97367365,64729333.134425394,55561147.7
2011-12-16,63903414.45391484,58595987.22420519,68859131.03486976,60085695.94
2011-12-23,63496008.18885001,58216976.58852267,68349327.21054457,76998241.31
2011-12-30,56581950.97410517,51783556.296819754,61794803.830136366,46042461.04
2012-01-06,46308886.36847196,40712899.67725811,51076710.83907854,44955421.95
2012-01-13,38838422.68767377,34211856.90426908,43487962.125557974,42023078.48
2012-01-20,38070413.57922398,32878634.09163982,43061319.38312337,42080996.56
2012-01-27,42534145.277933754,37590043.272535406,47370290.97389433,39834974.67
2012-02-03,47417121.779641,42381478.522084445,52402710.498287074,46085608.09
2012-02-10,49241742.37576946,43842953.64978672,54327481.4160907,50009407.92
2012-02-17,48290482.166886225,43547094.17126724,53324447.00906957,50197056.96
2012-02-24,46918331.207528375,42036121.63510964,52094771.58277872,45771506.57
2012-03-02,46474505.24255305,41599555.52705119,51225581.62737919,46861034.97
2012-03-09,46425259.69040392,41691826.2588184,51279341.38995076,47480454.11
2012-03-16,45990541.68035877,41161486.0103581,51255348.12727302,46901504.94
2012-03-23,45588227.69328123,41036113.93065931,50975692.986545436,44993794.45
2012-03-30,46159932.935938925,41194310.94907196,51425268.44691326,45272862.02
2012-04-06,47551427.650689185,42533163.07374184,52553259.40764277,53502315.87
2012-04-13,48356906.13894077,43609772.61988319,53466613.600054674,46629261.41
2012-04-20,47569047.16506855,42383408.67635424,52683352.67609521,45072529.78
2012-04-27,45904648.72623065,40808166.899190955,51343997.44317211,43716798.89
2012-05-04,45057254.08062785,39972495.91240395,49921276.288632266,47124197.93
2012-05-11,45786441.480887726,40820622.625801705,51027182.77472389,46925878.99
2012-05-18,47196017.58547624,42490837.02247144,52250344.00301165,46823939.22
2012-05-25,47979020.099993415,43078056.61421564,52742162.57198212,47892463.31
2012-06-01,47942475.0327894,43003848.70421704,52848523.37060952,48281649.72
2012-06-08,47931519.518334165,42764749.428685434,52944583.33158753,49651171.78
2012-06-15,48455950.49114808,43614569.60989907,53317687.51515638,48412110.7
2012-06-22,48945049.39879385,44323163.793454535,53726941.9598675,47668284.97
2012-06-29,48570977.73538121,43548784.65948064,53204840.128881596,46597112.12
